page,pdf_sha256,image,image_sha256,pixels,method,observation,status
1,bbd51c94fbb0ab485e3b1d68444782bfb4e2eb1d7bd9912c4e816e323cf5dfe6,checks/pages/page-001.png,577d417318af16711bd0e899b9e839cc2594fb23260a514c1824013a5f2bc70b,869x1228,Full-page render viewed in visual attempt 02; final PNG is byte-identical,New English title fits in two centered lines. The unchanged abstract paragraphs and keywords stay on the first page with footer 1.,No unresolved visual defect observed at the reviewed render settings
2,bbd51c94fbb0ab485e3b1d68444782bfb4e2eb1d7bd9912c4e816e323cf5dfe6,checks/pages/page-002.png,d7efc804322c580f1c34a97f84485efba424a1b6b5fc19138ae9ab6bb35816c0,869x1228,Full-page render viewed in visual attempt 02; final PNG is byte-identical,"Figure 1 remains on page 2 with intact English labels, flow arrows and attached caption. Q1-Q3 task prose is legible; Q3 continues normally on page 3.",No unresolved visual defect observed at the reviewed render settings
3,bbd51c94fbb0ab485e3b1d68444782bfb4e2eb1d7bd9912c4e816e323cf5dfe6,checks/pages/page-003.png,b14d4567e1387e00c0a07af4af3c99f44c700168ada28c41613851f136c5fbfa,869x1228,Full-page render viewed in visual attempt 02; final PNG is byte-identical,Q3 continuation and Q4 requirements lead into Section 1.2. Table 1 fits the width and retains all four task rows.,No unresolved visual defect observed at the reviewed render settings
4,bbd51c94fbb0ab485e3b1d68444782bfb4e2eb1d7bd9912c4e816e323cf5dfe6,checks/pages/page-004.png,eb5424582ff5abd782a26fdeec52546d4367c20ed957b9addba6ec1935527c22,869x1228,Full-page render viewed in visual attempt 02; final PNG is byte-identical,Figure 2 architecture is fully visible with its caption. Section 2 starts with accompanying data prose; no isolated heading.,No unresolved visual defect observed at the reviewed render settings
5,bbd51c94fbb0ab485e3b1d68444782bfb4e2eb1d7bd9912c4e816e323cf5dfe6,checks/pages/page-005.png,2b2f5d58c501a3436f609199954abe70bb14e2b6d919d747fd89ea6b49a97620,869x1228,Full-page render viewed in visual attempt 02; final PNG is byte-identical,"Figure 3's monthly ridges, observation dots, units, month labels and caption are visible. Forecast-conversion prose stays above the figure.",No unresolved visual defect observed at the reviewed render settings
6,bbd51c94fbb0ab485e3b1d68444782bfb4e2eb1d7bd9912c4e816e323cf5dfe6,checks/pages/page-006.png,f23e2c3df591a09eae436cac2ec33d88d63474acb3386298632259bf8ec29e80,869x1228,Full-page render viewed in visual attempt 02; final PNG is byte-identical,Tables 2 and 3 fit within margins with complete rows and centered captions. The warm-up paragraph continues normally to page 7.,No unresolved visual defect observed at the reviewed render settings
7,bbd51c94fbb0ab485e3b1d68444782bfb4e2eb1d7bd9912c4e816e323cf5dfe6,checks/pages/page-007.png,536b0bcb292224f4c15e9f5195d178928db00d4b8ef5144b66ad5167d00181dd,869x1228,Full-page render viewed in visual attempt 02; final PNG is byte-identical,Equation (1) remains with its introduction. Notation section starts with prose and Table 4 column headings; the table continues with data on page 8.,No unresolved visual defect observed at the reviewed render settings
8,bbd51c94fbb0ab485e3b1d68444782bfb4e2eb1d7bd9912c4e816e323cf5dfe6,checks/pages/page-008.png,a1a1b8de6caf8accae37ab977dd8192a7924bbcabe0ffbecb2545fe96645c88b,869x1228,Full-page render viewed in visual attempt 02; final PNG is byte-identical,Table 4 continuation repeats headings and contains the remaining notation. Equations (2) and (3) and their interpretations are fully readable.,No unresolved visual defect observed at the reviewed render settings
9,bbd51c94fbb0ab485e3b1d68444782bfb4e2eb1d7bd9912c4e816e323cf5dfe6,checks/pages/page-009.png,b2ed468987cea161a7f85a4a03021ce6742b31f862c44311ccc7ee443373e28b,869x1228,Full-page render viewed in visual attempt 02; final PNG is byte-identical,"Historical-scenario equation (4), complete program (5), and contract equation (6) fit with their introductions. The revised settlement sentence stays beneath equation (6).",No unresolved visual defect observed at the reviewed render settings
10,bbd51c94fbb0ab485e3b1d68444782bfb4e2eb1d7bd9912c4e816e323cf5dfe6,checks/pages/page-010.png,7017d9c635a0299eec30885535058f19c92885766660e40f02c97befd45a6179,869x1228,Full-page render viewed in visual attempt 02; final PNG is byte-identical,Equations (7) and (8) are intact and legible. Algorithm 1 begins with steps 1-4; its continuation is orderly on page 11.,No unresolved visual defect observed at the reviewed render settings
